customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn
7590-VHVEG;Female;0;Yes;No;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check; R$ 29,85 ; R$ 29,85 ;No
5575-GNVDE;Male;0;No;No;34;Yes;No;DSL;Yes;No;Yes;No;No;No;One year;No;Mailed check; R$ 56,95 ; R$ 1.889,50 ;No
3668-QPYBK;Male;0;No;No;2;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Mailed check; R$ 53,85 ; R$ 108,15 ;Yes
7795-CFOCW;Male;0;No;No;45;No;No phone service;DSL;Yes;No;Yes;Yes;No;No;One year;No;Bank transfer (automatic); R$ 42,30 ; R$ 1.840,75 ;No
9237-HQITU;Female;0;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check; R$ 70,70 ; R$ 151,65 ;Yes
9305-CDSKC;Female;0;No;No;8;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check; R$ 99,65 ; R$ 820,50 ;Yes
1452-KIOVK;Male;0;No;Yes;22;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Credit card (automatic); R$ 89,10 ; R$ 1.949,40 ;No
6713-OKOMC;Female;0;No;No;10;No;No phone service;DSL;Yes;No;No;No;No;No;Month-to-month;No;Mailed check; R$ 29,75 ; R$ 301,90 ;No
7892-POOKP;Female;0;Yes;No;28;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check; R$ 104,80 ; R$ 3.046,05 ;Yes
6388-TABGU;Male;0;No;Yes;62;Yes;No;DSL;Yes;Yes;No;No;No;No;One year;No;Bank transfer (automatic); R$ 56,15 ; R$ 3.487,95 ;No
9763-GRSKD;Male;0;Yes;Yes;13;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check; R$ 49,95 ; R$ 587,45 ;No
7469-LKBCI;Male;0;No;No;16;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic); R$ 18,95 ; R$ 326,80 ;No
8091-TTVAX;Male;0;Yes;No;58;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;One year;No;Credit card (automatic); R$ 100,35 ; R$ 5.681,10 ;No
0280-XJGEX;Male;0;No;No;49;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic); R$ 103,70 ; R$ 5.036,30 ;Yes
5129-JLPIS;Male;0;No;No;25;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check; R$ 105,50 ; R$ 2.686,05 ;No
3655-SNQYZ;Female;0;Yes;Yes;69;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic); R$ 113,25 ; R$ 7.895,15 ;No
8191-XWSZG;Female;0;No;No;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check; R$ 20,65 ; R$ 1.022,95 ;No
9959-WOFKT;Male;0;No;Yes;71;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;Two year;No;Bank transfer (automatic); R$ 106,70 ; R$ 7.382,25 ;No
4190-MFLUW;Female;0;Yes;Yes;10;Yes;No;DSL;No;No;Yes;Yes;No;No;Month-to-month;No;Credit card (automatic); R$ 55,20 ; R$ 528,35 ;Yes
4183-MYFRB;Female;0;No;No;21;Yes;No;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check; R$ 90,05 ; R$ 1.862,90 ;No
8779-QRDMV;Male;1;No;No;1;No;No phone service;DSL;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check; R$ 39,65 ; R$ 39,65 ;Yes
1680-VDCWW;Male;0;Yes;No;12;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic); R$ 19,80 ; R$ 202,25 ;No
1066-JKSGK;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check; R$ 20,15 ; R$ 20,15 ;Yes
3638-WEABW;Female;0;Yes;No;58;Yes;Yes;DSL;No;Yes;No;Yes;No;No;Two year;Yes;Credit card (automatic); R$ 59,90 ; R$ 3.505,10 ;No
6322-HRPFA;Male;0;Yes;Yes;49;Yes;No;DSL;Yes;Yes;No;Yes;No;No;Month-to-month;No;Credit card (automatic); R$ 59,60 ; R$ 2.970,30 ;No
6865-JZNKO;Female;0;No;No;30;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic); R$ 55,30 ; R$ 1.530,60 ;No
6467-CHFZW;Male;0;Yes;Yes;47;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check; R$ 99,35 ; R$ 4.749,15 ;Yes
8665-UTDHZ;Male;0;Yes;Yes;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check; R$ 30,20 ; R$ 30,20 ;Yes
5248-YGIJN;Male;0;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic); R$ 90,25 ; R$ 6.369,45 ;No
8773-HHUOZ;Female;0;No;Yes;17;Yes;No;DSL;No;No;No;No;Yes;Yes;Month-to-month;Yes;Mailed check; R$ 64,70 ; R$ 1.093,10 ;Yes
3841-NFECX;Female;1;Yes;No;71;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;No;Two year;Yes;Credit card (automatic); R$ 96,35 ; R$ 6.766,95 ;No
4929-XIHVW;Male;1;Yes;No;2;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic); R$ 95,50 ; R$ 181,65 ;No
6827-IEAUQ;Female;0;Yes;Yes;27;Yes;No;DSL;Yes;Yes;Yes;Yes;No;No;One year;No;Mailed check; R$ 66,15 ; R$ 1.874,45 ;No
7310-EGVHZ;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic); R$ 20,20 ; R$ 20,20 ;No
3413-BMNZE;Male;1;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic); R$ 45,25 ; R$ 45,25 ;No
6234-RAAPL;Female;0;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;Two year;No;Bank transfer (automatic); R$ 99,90 ; R$ 7.251,70 ;No
6047-YHPVI;Male;0;No;No;5;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check; R$ 69,70 ; R$ 316,90 ;Yes
6572-ADKRS;Female;0;No;No;46;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic); R$ 74,80 ; R$ 3.548,30 ;No
5380-WJKOV;Male;0;No;No;34;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check; R$ 106,35 ; R$ 3.549,25 ;Yes
8168-UQWWF;Female;0;No;No;11;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic); R$ 97,85 ; R$ 1.105,40 ;Yes
8865-TNMNX;Male;0;Yes;Yes;10;Yes;No;DSL;No;Yes;No;No;No;No;One year;No;Mailed check; R$ 49,55 ; R$ 475,70 ;No
9489-DEDVP;Female;0;Yes;Yes;70;Yes;Yes;DSL;Yes;Yes;No;No;Yes;No;Two year;Yes;Credit card (automatic); R$ 69,20 ; R$ 4.872,35 ;No
9867-JCZSP;Female;0;Yes;Yes;17;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check; R$ 20,75 ; R$ 418,25 ;No
4671-VJLCL;Female;0;No;No;63;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;Two year;Yes;Credit card (automatic); R$ 79,85 ; R$ 4.861,45 ;No
4080-IIARD;Female;0;Yes;No;13;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;No;Month-to-month;Yes;Electronic check; R$ 76,20 ; R$ 981,45 ;No
3714-NTNFO;Female;0;No;No;49;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check; R$ 84,50 ; R$ 3.906,70 ;No
5948-UJZLF;Male;0;No;No;2;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;No;Mailed check; R$ 49,25 ; R$ 97,00 ;No
